% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
75,6156,46000,-2.1,249432,,,,,
,,,,,75,141,1309,-72.6,249750
75,6191,46100,-1.4,249839,,,,,
75,6217,46200,-2.0,250338,,,,,
75,6236,46300,-2.4,250872,,,,,
75,6254,46400,-2.5,251461,,,,,
,,,,,75,142,1319,-72.7,251702
75,6276,46500,-2.4,252035,,,,,
74,6295,46600,-2.3,252580,,,,,
74,6312,46700,-2.5,253141,,,,,
,,,,,74,143,1329,-73.3,253624
74,6330,46800,-2.5,253717,,,,,
74,6348,46900,-2.6,254277,,,,,
74,6358,47000,-2.6,254834,,,,,
74,6388,47100,-1.8,255287,,,,,
,,,,,74,143,1339,-73.9,255624
74,6414,47200,-2.3,255851,,,,,
74,6444,47300,-2.0,256325,,,,,
74,6457,47400,-2.7,256938,,,,,
,,,,,74,143,1349,-74.4,257624
74,6462,47500,-3.4,257629,,,,,
74,6490,47600,-1.7,258055,,,,,
74,6515,47700,-2.2,258593,,,,,
74,6538,47800,-2.1,259077,,,,,
,,,,,74,144,1359,-75.3,259618
74,6551,47900,-2.6,259659,,,,,
74,6572,48000,-2.2,260214,,,,,
74,6592,48100,-2.8,260859,,,,,
74,6606,48200,-2.8,261460,,,,,
,,,,,74,145,1369,-75.6,261599
74,6635,48300,-2.0,261943,,,,,
74,6651,48400,-2.7,262576,,,,,
73,6668,48500,-2.6,263139,,,,,
,,,,,73,146,1379,-76.6,263572
73,6688,48600,-2.1,263665,,,,,
73,6706,48700,-2.6,264251,,,,,
73,6720,48800,-2.5,264822,,,,,
73,6740,48900,-2.4,265392,,,,,
,,,,,73,147,1389,-76.2,265540
73,6760,49000,-2.5,265957,,,,,
73,6769,49100,-2.9,266573,,,,,
73,6792,49200,-2.5,267116,,,,,
,,,,,73,148,1399,-75.7,267455
73,6811,49300,-2.0,267602,,,,,
73,6840,49400,-2.1,268133,,,,,
73,6860,49500,-2.4,268704,,,,,
73,6879,49600,-2.6,269293,,,,,
,,,,,73,149,1409,-75.5,269333
73,6893,49700,-2.9,269968,,,,,
73,6913,49800,-2.3,270451,,,,,
73,6932,49900,-2.6,271056,,,,,
,,,,,73,150,1419,-76.5,271316
73,6951,50000,-2.2,271622,,,,,
73,6966,50100,-2.9,272293,,,,,
72,6985,50200,-2.3,272812,,,,,
,,,,,72,150,1429,-76.8,273316
72,6998,50300,-2.6,273405,,,,,
72,7006,50400,-2.9,274059,,,,,
72,7019,50500,-3.1,274700,,,,,
72,7038,50600,-2.1,275192,,,,,
,,,,,72,150,1439,-77.1,275316
72,7058,50700,-2.6,275733,,,,,
72,7076,50800,-2.4,276284,,,,,
72,7109,50900,-1.7,276720,,,,,
,,,,,72,150,1449,-77.1,277316
72,7117,51000,-2.9,277379,,,,,
72,7129,51100,-2.8,278046,,,,,
72,7162,51200,-1.6,278466,,,,,
